nombre_establecimiento,razon_social,fecha_alta,categoria_actividad,actividad,personas_ocupadas,tipo_empresa,tipo_centro_comercio,centro_comercio,tipo_unidad_economica,direccion,colonia,alcaldia,telefono,correo_electronico,pagina_web,latitud,longitud
TIENDA NATURISTA MUNDO SANO,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,MERCADO MERCED NAVE MAYOR,Fijo,CALLE GENERAL ANAYA EXT. 0 INT. 1556 C.P. 15810,CENTRO II,VENUSTIANO CARRANZA,NA,NA,NA,19.42800364,-99.12334063
TIENDA NATURISTA MX3,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE MIGUEL SCHULTZ EXT. 6  C.P. 6470,SAN RAFAEL I,CUAUHTEMOC,NA,NA,NA,19.44112931,-99.15960112
TIENDA NATURISTA NACHITA,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA TLAHUAC EXT. 3596  C.P. 13440,SAN FRANCISCO TLALTENCO (PBLO),TLAHUAC,NA,NA,NA,19.29387774,-99.01889917
TIENDA NATURISTA NALLELY 1,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALZADA GENERAL IGNACIO ZARAGOZA EXT. 42  C.P. 15500,MOCTEZUMA 1A SECCION,VENUSTIANO CARRANZA,"5557858637",NA,NA,19.42656921,-99.10848434
TIENDA NATURISTA NATURA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE TENIENTE FAUSTO VEGA SANTANDER EXT. 411  C.P. 9060,ESCUADRON 201,IZTAPALAPA,NA,NA,NA,19.36137591,-99.11262923
TIENDA NATURISTA NATURA LIFE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE LA SOLEDAD EXT. 81  C.P. 15900,CENTRO I,VENUSTIANO CARRANZA,NA,NA,NA,19.43189631,-99.12435443
TIENDA NATURISTA NATURAL,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE AVENIDA FELIPE VILLANUEVA EXT. 218  C.P. 6220,PERALVILLO I,CUAUHTEMOC,"5557826087",NA,NA,19.4636548,-99.13983032
TIENDA NATURISTA NATURAL O NATURAL,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE JORGE WASHINGTON EXT. 100  C.P. 3510,MODERNA,BENITO JUAREZ,NA,NA,NA,19.39518048,-99.13404504
TIENDA NATURISTA NATURALIDAD,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE 5 DE MAYO EXT. 45  C.P. 14650,SAN PEDRO MARTIR (PBLO),TLALPAN,"5559941531",NA,NA,19.26715992,-99.17215754
TIENDA NATURISTA NATURALIFE,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA FRAY SERVANDO TERESA DE MIER EXT. 207 INT. 207 C.P. 15810,MERCED BALBUENA,VENUSTIANO CARRANZA,NA,NA,NA,19.42216679,-99.12140676
TIENDA NATURISTA NATURALISIMA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE GENERAL JUAN ENRIQUEZ EXT. 382  C.P. 9100,JUAN ESCUTIA I,IZTAPALAPA,NA,NA,NA,19.39287598,-99.04433085
TIENDA NATURISTA NATURALMENTE,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,OTRO (ESPECIFIQUE) NINGUNO EXT. 0 INT. 0 C.P. 9510,SANTA MARTHA ACATITLA,IZTAPALAPA,NA,NA,NA,19.36449445,-99.00608508
TIENDA NATURISTA NATURALMENTE SANA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 3 ORIENTE (INGENIERO EDUARDO MOLINA) EXT. 0 INT. 84 C.P. 15310,FELIPE ANGELES,VENUSTIANO CARRANZA,NA,NA,NA,19.45123062,-99.10963926
TIENDA NATURISTA NATURAVIR,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,JOSE LOPEZ PORTILLO,Fijo,CALLE 1 EXT. 352 INT. 66 C.P. 8100,PANTITLAN III,IZTACALCO,NA,NA,NA,19.4119432,-99.06885134
TIENDA NATURISTA NAYELY,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALZADA GENERAL IGNACIO ZARAGOZA EXT. 16 INT. 0 C.P. 15500,MOCTEZUMA 1A SECCION,VENUSTIANO CARRANZA,NA,NA,NA,19.42721917,-99.10975877
TIENDA NATURISTA NUEVA ERA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE EJIDO EXT. 0 INT. 0 C.P. 7520,25 DE JULIO,GUSTAVO A. MADERO,NA,NA,NA,19.4952314,-99.08071201
TIENDA NATURISTA NUEVO LEON,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE NUEVO LEON EXT. 43 INT. 0 C.P. 16070,SANTA CRUCITA (BARR),XOCHIMILCO,NA,NA,NA,19.26206978,-99.10179226
TIENDA NATURISTA NUTRISALUD,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,MERCADO PUBLICO PANTITLAN CALLE 4,Fijo,CALLE 4 EXT. 118 INT. 89 C.P. 8100,PANTITLAN V,IZTACALCO,NA,NA,NA,19.41131263,-99.06256765
TIENDA NATURISTA NUTRISOYA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE FRANCISCO JIMENEZ EXT. 5 INT. 0 C.P. 13360,LA CONCHITA I,TLAHUAC,NA,NA,NA,19.29524243,-99.03635171
TIENDA NATURISTA NUTRIVIDA SANA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,PASAJE Y ANDADOR COMERCIAL,CLINICA 10,Fijo,CALZADA CALZADA DE TLALPAN EXT. 10 INT. 18 C.P. 3500,NATIVITAS,BENITO JUAREZ,NA,NA,NA,19.38575091,-99.13897069
TIENDA NATURISTA OLASAR,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE PLAN DE AYUTLA EXT. 2  C.P. 16018,SAN LORENZO LA CEBADA II,XOCHIMILCO,"5521900799",olasarnaturista@gmail.com,NA,19.27940427,-99.12255949
TIENDA NATURISTA OMEGA 3,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE 306 EXT. 27  C.P. 7420,NUEVA ATZACOALCO III,GUSTAVO A. MADERO,NA,linovich@hotmail.com,NA,19.49307652,-99.09001942
TIENDA NATURISTA REALYNAT,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 8 SUR (CALZADA ERMITA IZTAPALAPA) EXT. 3508 INT. 0 C.P. 9660,CITLALLI,IZTAPALAPA,"5554299301",NA,NA,19.34504003,-99.02132015
TIENDA NATURISTA SALUD BELLEZA Y BIENESTAR,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE 3 EXT. 291  C.P. 8100,PANTITLAN I,IZTACALCO,NA,NA,NA,19.41631548,-99.06416884
TIENDA NATURISTA SALUD NATURAL,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,MERCADO 22 SAN JOAQUIN ZONA,Fijo,CALLE ERNESTO ELORDUY EXT. 22 INT. 255 C.P. 6200,PERALVILLO I,CUAUHTEMOC,NA,NA,NA,19.46262551,-99.13878236
TIENDA NATURISTA SALUD Y VIDA,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA LEON DE LOS ALDAMA EXT. 323  C.P. 7510,SAN FELIPE DE JESUS III,GUSTAVO A. MADERO,NA,NA,NA,19.49968897,-99.07481092
"TIENDA NATURISTA SALUD, LUZ Y VIDA",NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,MERCADO MARTINEZ DE LA TORRE ANEXO,Fijo,EJE VIAL 1 NORTE (MOSQUETA) EXT. 0 INT. 62 C.P. 6300,GUERRERO III,CUAUHTEMOC,NA,NA,NA,19.44504352,-99.1452686
TIENDA NATURISTA SAMARA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA AGUSTIN YAÑEZ EXT. 1860 INT. 0 C.P. 9060,ESCUADRON 201,IZTAPALAPA,"5556702736",NA,NA,19.36493857,-99.10999595
TIENDA NATURISTA SANDY,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 7 SUR (FELIX CUEVAS) EXT. 133  C.P. 3100,ACTIPAN,BENITO JUAREZ,"55346759",NA,NA,19.37326891,-99.17732664
TIENDA NATURISTA SANTA MARTHA,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE RAFAEL REYES EXT. 4144  C.P. 9510,SANTA MARTHA ACATITLA_(PBLO),IZTAPALAPA,"5538501827",NA,NA,19.35742553,-99.00319162
TIENDA NATURISTA SANTIAGO,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE OCTAVIO SENTIES EXT. 5  C.P. 9608,2A AMPLIACION SANTIAGO ACAHUALTEPEC I,IZTAPALAPA,NA,NA,NA,19.35061004,-99.01156725
TIENDA NATURISTA SECURA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE MIER Y PESADO EXT. 332  C.P. 3103,DEL VALLE II,BENITO JUAREZ,"5585905731",NA,NA,19.39322647,-99.16556363
TIENDA NATURISTA SELINE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CORONA DEL ROSAL EXT. 7 INT. 0 C.P. 10020,CUAUHTEMOC,LA MAGDALENA CONTRERAS,NA,NA,NA,19.32004428,-99.24543111
TIENDA NATURISTA SHAYA MICHAN,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 8 SUR (CALZADA ERMITA IZTAPALAPA) EXT. 1371  C.P. 9000,EL SANTUARIO,IZTAPALAPA,"5556862211",NA,NA,19.35727105,-99.08770321
TIENDA NATURISTA SHAYA MICHAN,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 4 NORTE (AVENIDA TALISMAN) EXT. 4014  C.P. 7820,SAN PEDRO EL CHICO,GUSTAVO A. MADERO,"5537630771",NA,NA,19.47020112,-99.10074276
TIENDA NATURISTA SIEHE,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ALDAMA EXT. 108  C.P. 9000,SAN PABLO (BARR),IZTAPALAPA,NA,NA,NA,19.35888823,-99.09032458
TIENDA NATURISTA SIN NOMBRE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE BELISARIO DOMINGUEZ   C.P. 16750,SANTIAGO TULYEHUALCO (PBLO),XOCHIMILCO,"5576467520",NA,NA,19.25327556,-99.01121817
TIENDA NATURISTA SIN NOMBRE,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,MERCADO 110 SAN JOAQUIN ANEXO,Fijo,CALLE ERNESTO ELORDUY EXT. 62 INT. 169 C.P. 6220,PERALVILLO I,CUAUHTEMOC,NA,NA,NA,19.46196766,-99.13880633
TIENDA NATURISTA SIN NOMBRE,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,VICENTE GUERRERO,Fijo,CALLE 314  INT. 265 C.P. 7420,NUEVA ATZACOALCO II,GUSTAVO A. MADERO,"5515038592",NA,NA,19.50113158,-99.08558511
TIENDA NATURISTA SIN NOMBRE,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE TACUBA EXT. 32  C.P. 6000,CENTRO IV,CUAUHTEMOC,NA,NA,NA,19.4356446,-99.13738936
TIENDA NATURISTA SIN NOMBRE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ALCESTIS EXT. 7  C.P. 13200,MIGUEL HIDALGO,TLAHUAC,NA,NA,NA,19.29547347,-99.0505241
TIENDA NATURISTA SIN NOMBRE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA CALZADA CUITLAHUAC   C.P. 13000,SAN PEDRO TLAHUAC (PBLO),TLAHUAC,NA,NA,NA,19.27462837,-99.00261347
TIENDA NATURISTA SIN NOMBRE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE VICENTE GUERRERO   C.P. 14500,SAN MIGUEL TOPILEJO (PBLO),TLALPAN,NA,NA,NA,19.20112103,-99.1423281
TIENDA NATURISTA SIN NOMBRE,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA TLAHUAC EXT. 299  C.P. 9800,SAN ANTONIO CULHUACAN (BARR),IZTAPALAPA,"5556072714",NA,NA,19.33885268,-99.1090656
TIENDA NATURISTA SIN NOMBRE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE FRANCISCO JIMENEZ EXT. 17 INT. 0 C.P. 13360,LA CONCHITA I,TLAHUAC,NA,NA,NA,19.2935201,-99.03635758
TIENDA NATURISTA SIN NOMBRE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 3 SUR (MORELOS)  INT. 6 C.P. 15800,JAMAICA,VENUSTIANO CARRANZA,NA,NA,NA,19.4089881,-99.12204385
TIENDA NATURISTA SIN NOMBRE,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ESTERLINAS EXT. 311 INT. 0 C.P. 1510,PENSADOR MEXICANO I,VENUSTIANO CARRANZA,NA,NA,NA,19.44519747,-99.08636356
TIENDA NATURISTA SIN NOMBRE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE JOSE LUGO GUERRERO EXT. 0 INT. 0 C.P. 13200,GRANJAS CABRERA,TLAHUAC,NA,NA,NA,19.29705369,-99.06173935
TIENDA NATURISTA SIN NOMBRE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE LA SOLEDAD EXT. 88 INT. 0 C.P. 15290,CENTRO I,VENUSTIANO CARRANZA,"5554910883",NA,NA,19.43197015,-99.12352197
TIENDA NATURISTA SIN NOMBRE,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,VASCO DE QUIROGA,Fijo,CALLE FRAY JUAN DE PADILLA EXT. 70 INT. 166 C.P. 7440,VASCO DE QUIROGA,GUSTAVO A. MADERO,NA,NA,NA,19.49425752,-99.09484111
TIENDA NATURISTA SIN NOMBRE,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,CAMPESTRE ARAGON 272,Fijo,CALLE CAMINO CAMPESTRE EXT. 272  C.P. 7530,CAMPESTRE ARAGON I,GUSTAVO A. MADERO,"5538072778",NA,NA,19.4860246,-99.07786888
TIENDA NATURISTA SIN NOMBRE,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE LAURO DEL VILLAR EXT. 9  C.P. 9720,FRANCISCO VILLA,IZTAPALAPA,NA,NA,NA,19.33767265,-99.06161118
TIENDA NATURISTA SIN NOMBRE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,MERCADO MARGARITA MAZA DE JUAREZ,Fijo,CERRADA BORO EXT. 1  C.P. 9830,EL MANTO,IZTAPALAPA,NA,NA,NA,19.34793829,-99.08137521
TIENDA NATURISTA SIN NOMBRE,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,MERCADO 82 JOSE MARIA PINOSUAREZ,Fijo,CALLE JILGUERO EXT. 1  C.P. 1140,JOSE MARIA PINO SUAREZ,ALVARO OBREGON,NA,NA,NA,19.39778334,-99.19780317
TIENDA NATURISTA SIN NOMBRE,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 3 SUR (AVENIDA BAJA CALIFORNIA)  INT. 6 C.P. 6100,HIPODROMO II,CUAUHTEMOC,"52548763",NA,NA,19.40594716,-99.16895353
TIENDA NATURISTA SIN NOMBRE,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA PUERTO MAZATLAN EXT. 237 INT. 0 C.P. 7290,LA PASTORA,GUSTAVO A. MADERO,"5530634348",NA,NA,19.52792308,-99.14128114
TIENDA NATURISTA SOLONAT,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA JOSE MARIA MORELOS EXT. 25 INT. 0 C.P. 12100,SAN ANTONIO TECOMITL (PBLO),MILPA ALTA,"5538765225",NA,NA,19.21846639,-98.99390891
TIENDA NATURISTA SOLUNAT,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CUAUHTEMOC EXT. 114 INT. 101 C.P. 16090,SAN PEDRO (BARR),XOCHIMILCO,NA,NA,NA,19.25892445,-99.10520571
TIENDA NATURISTA SOY VIDA,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 5 ORIENTE (AVENIDA JAVIER ROJO GOMEZ) EXT. 97 INT. 0 C.P. 9360,SAN MIGUEL (BARR),IZTAPALAPA,NA,NA,NA,19.35708235,-99.08621326
TIENDA NATURISTA SOYA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 5 NORTE (MONTEVIDEO) EXT. 50 INT. 0 C.P. 7020,TEPEYAC INSURGENTES,GUSTAVO A. MADERO,"5555771953",NA,NA,19.48597406,-99.12122401
TIENDA NATURISTA SOYA NATURAL,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE 5 DE MAYO EXT. 77  C.P. 14650,SAN PEDRO MARTIR (PBLO),TLALPAN,"5554851058",NA,NA,19.26571335,-99.16846223
TIENDA NATURISTA SOYA Y VIDA,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE ATILANO MORALES EXT. 80  C.P. 7090,CTM EL RISCO (U HAB),GUSTAVO A. MADERO,"5571792033",NA,NA,19.51087176,-99.10056241
TIENDA NATURISTA SOYAVIDA,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE SAN FELIPE DE JESUS EXT. 48  C.P. 9360,SAN MIGUEL (BARR),IZTAPALAPA,NA,NA,NA,19.35185118,-99.07347325
TIENDA NATURISTA SUPER VEGANOS,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE MEMBRILLO EXT. 170 INT. 0 C.P. 2800,NUEVA SANTA MARIA,AZCAPOTZALCO,NA,NA,www.superveganos.com,19.46405869,-99.16954659
TIENDA NATURISTA TANLILY,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,EJE VIAL 3 NORTE (CUITLAHUAC) EXT. 1706  C.P. 2900,AGUILERA,AZCAPOTZALCO,"5576519649",NA,NA,19.47350668,-99.15818562
TIENDA NATURISTA TOCI,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA DIVISION DEL NORTE EXT. 2022  C.P. 3303,PORTALES III,BENITO JUAREZ,NA,NA,NA,19.36510847,-99.15505136
TIENDA NATURISTA TOJ OOL,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,MERCADO PUBLICO,EL MIRADOR,Fijo,CALLE BECAL EXT. 1011 INT. 0 C.P. 14240,LOMAS DE  PADIERNA I,TLALPAN,NA,NA,NA,19.29572563,-99.2259943
TIENDA NATURISTA TONANZI,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE IGNACIO MANUEL ALTAMIRANO EXT. 7 INT. 0 C.P. 9700,CARLOS HANK GONZALEZ,IZTAPALAPA,NA,NA,NA,19.33133564,-99.0476796
TIENDA NATURISTA TONATIUH,NA,2019-11-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CARLOS A. VIDAL EXT. 64  C.P. 13400,SAN FRANCISCO TLALTENCO (PBLO),TLAHUAC,"5546619541",NA,NA,19.29554545,-99.01464315
TIENDA NATURISTA TONATIUH,NA,2014-12-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE CARLOS A. VIDAL EXT. 64 INT. 0 C.P. 13400,SAN FRANCISCO TLALTENCO (PBLO),TLAHUAC,"5546619541",NA,NA,19.29553671,-99.01457903
TIENDA NATURISTA TONATZIN,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA LANGOSTA EXT. 607  C.P. 13270,DEL MAR SUR,TLAHUAC,NA,NA,NA,19.28767902,-99.05376057
TIENDA NATURISTA VIAGLAND,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,AVENIDA OAXACA EXT. 123  C.P. 10400,SAN JERONIMO ACULCO - LIDICE (PBLO),LA MAGDALENA CONTRERAS,"5551350848",NA,NA,19.31542075,-99.22527228
TIENDA NATURISTA VIDA NATURA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE GALLO DE ORO EXT. 0 INT. 26 C.P. 13220,LA NOPALERA,TLAHUAC,"5558505708",NA,NA,19.29645121,-99.05410984
TIENDA NATURISTA VIDA SANA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE MANIZALES EXT. 189 INT. 75 C.P. 7360,RESIDENCIAL ZACATENCO,GUSTAVO A. MADERO,"5555869160",NA,NA,19.50531253,-99.12489618
TIENDA NATURISTA VITAL NATURA,NA,2010-07-01,Farmacias y salud,"Productos naturistas, medicamentos homeopáticos y de complementos alimenticios",0 a 5 personas,Microempresa,NA,NA,Fijo,CALLE JESUS MARIA EXT. 140  C.P. 6000,CENTRO VI,CUAUHTEMOC,NA,NA,NA,19.42629232,-99.12876704
